ind,lon,lat,type,five_types,image_id_1
0,-107.7679325,71.35151866,22,2,20220619T190931_20220619T190925_T13WDV
1,99.19423523,71.91400995,33,4,20220729T054651_20220729T054647_T47WMV
2,-48.8934366,61.61454779,32,3,20230708T143749_20230708T143751_T22VFP
3,-121.3769874,76.49621196,1,1,20230728T212039_20230728T212231_T10XEL
4,-156.363387,69.5013934,24,2,20200709T223541_20200709T223536_T04WFC
5,-165.5633135,61.94478644,43,5,20190707T222539_20190707T222541_T03VVJ
6,154.6289258,70.21443232,43,5,20230802T020659_20230802T020656_T56WNC
7,53.71660296,73.06990784,3,1,20200724T090559_20200724T090556_T39XWB
8,55.37001288,67.34893966,23,2,20230812T075611_20230812T075613_T39WXQ
9,-157.0339857,68.34392607,31,3,20210714T223541_20210714T223535_T04WEA
10,70.37734437,68.74933237,23,2,20230805T071619_20230805T071622_T42WWB
11,-50.00003694,67.45528779,33,4,20200702T150759_20200702T150831_T22WEV
12,71.56505118,72.21110382,1,1,20230805T071619_20230805T071622_T42XWF
13,95.68213262,79.17490514,1,1,20210719T081611_20210719T081606_T46XEN
14,-71.67016063,60.21124188,32,3,20220625T160911_20220625T161225_T18VXM
15,-83.75993875,68.27533476,31,3,20220722T173911_20220722T173914_T16WFA
16,53.82066252,67.92587753,23,2,20230811T082611_20230811T082605_T39WXR
17,-106.2915105,62.75057849,5,1,20200801T182919_20200801T182920_T13VDK
18,-175.0488845,65.85531823,24,2,20220801T233659_20220801T233653_T01WEP
19,-156.4155852,69.54952903,24,2,20200709T223541_20200709T223536_T04WFC
20,-99.6549771,65.63321327,2,1,20220617T182931_20220617T182946_T14WMT
21,58.69348933,67.42380782,23,2,20230812T075611_20230812T075613_T40WEV
22,118.1554302,73.12918574,24,2,20230807T043709_20230807T043705_T50XNG
23,52.92244886,71.55801546,21,2,20230801T082611_20230801T082606_T39WWV
24,-73.55074756,82.69035083,1,1,20190630T205029_20190630T205029_T18XWS
25,92.47207785,71.99482318,24,2,20230802T061641_20230802T061646_T46WDE
26,81.06644046,72.79322766,23,2,20230805T071619_20230805T071622_T43XFA
27,-98.6703083,71.84808323,1,1,20220620T183931_20220620T183959_T14WNE
28,-105.8615194,63.60826728,33,4,20200802T184921_20200802T185433_T13VDL
