ind,lon,lat,genus,species,image_id_1
2,-9.41594988800896,38.774764576534,"Eucalyptus, Pinus",Pinus pinaster,20170714T112111_20170714T112114_T29SMC
5,-9.25316845441605,38.7060288084284,"Pinus, Eucalyptus",Pinus halepensis,20170806T113321_20170806T113439_T29SMC
6,-8.80259710746927,37.1752910367827,"Pinus, Quercus","Pinus pinaster, Quercus suber",20170714T112111_20170714T113033_T29SNB
7,-9.16634980722378,38.4919419286883,Pinus,"Pinus pinea, Pinus pinaster",20170806T113321_20170806T113439_T29SMC
8,-9.35892683776847,39.1387194713125,"Pinus, Eucalyptus",Pinus pinaster,20170714T112111_20170714T112114_T29SMD
9,-9.33451545271589,39.0973383088527,"Eucalyptus, Pinus",Pinus pinaster,20170714T112111_20170714T112114_T29SMD
12,-8.78921984822917,37.3355594386614,"Eucalyptus, Quercus",Quercus suber,20170714T112111_20170714T113033_T29SNB
14,-9.24062880760044,38.9032234383386,"Pinus, Castanea, Eucalyptus","Pinus pinaster, Castanea sativa",20170714T112111_20170714T112114_T29SMD
15,-8.71627586729576,37.1556265821523,Quercus,Quercus suber,20170714T112111_20170714T113033_T29SNB
17,-9.21821891983776,38.9077657051234,"Pinus, Eucalyptus",Pinus pinaster,20170714T112111_20170714T112114_T29SMD
18,-9.26373768997562,39.1395061255782,Eucalyptus,Pinus pinaster,20170714T112111_20170714T112114_T29SMD
19,-8.71734291918615,37.285154592326,"Quercus, Eucalyptus",Quercus suber,20170714T112111_20170714T113033_T29SNB
38,-9.18948428298169,39.2101044351337,"Quercus, Eucalyptus",Quercus suber,20170714T112111_20170714T112114_T29SMD
39,-9.2157360266429,39.2974701824265,"Pinus, Eucalyptus",Pinus pinaster,20170714T112111_20170714T112114_T29SMD
42,-8.76638779280253,37.7941968878032,"Pinus, Eucalyptus",Pinus pinaster,20170714T112111_20170714T113033_T29SNB
43,-8.81591764662327,37.9695648124946,"Quercus, Pinus","Quercus suber, Pinus pinaster",20170714T112111_20170714T113033_T29SNC
46,-8.69397171902105,37.5770767710554,"Quercus, Eucalyptus, Pinus","Quercus suber, Pinus pinaster",20170714T112111_20170714T113033_T29SNB
48,-8.78767861775949,37.9937477413123,"Eucalyptus, Pinus","Pinus pinea, Pinus pinaster",20170714T112111_20170714T113033_T29SNC
52,-8.78902881063242,38.0397961538934,"Eucalyptus, Pinus",Pinus pinaster,20170714T112111_20170714T113033_T29SNC
54,-9.19620244367256,39.4311148377037,"Pinus, Eucalyptus",Pinus pinaster,20170714T112111_20170714T112114_T29SMD
